,Interface ID,Supplier,Rejection Reason,Value
0,9936,1 Retail Investments Sales Team In Southern California Inc- ASI:CMP:9476,The value provided is invalid.,1 Retail Investments Sales Team In Southern California Inc-ASI:CMP:9476
1,9848,1131 Thurow- CMP_52251,The value provided is invalid.,1131 Thurow-CMP_52251
2,9628,1228 Harding Avenue- CMP_43179,The value provided is invalid.,1228 Harding Avenue- CMP_43179
3,9891,1304 S Roxbury Drive LLC-ab:91422,The value provided is invalid.,1304 S Roxbury Drive LLC- ab:91422
4,9618,14929 Lone Butte Road- CMP_50714,The value provided is invalid.,14929 Lone Butte Road- CMP_50714
5,9763,1507 Watson Boulevard- CMP_54905,The value provided is invalid.,1507 Watson Boulevard- CMP_54905
6,9640,1561-81 Kennedy Blvd. & 265 Gates Avenue- CMP_50626,The value provided is invalid.,1561-81 Kennedy Blvd. & 265 Gates Avenue-CMP_50626
7,9528,2121-CMP_52224,The value provided is invalid.,2121-CMP_52224
8,9938,2257 Akr Wadsworth Road-CMP_55028,The value provided is invalid.,2257 Akr Wadsworth Road- CMP_55028
9,9345,226 Wyckoff Avenue- CMP_42047,The value provided is invalid.,226 Wyckoff Avenue- CMP_42047
10,9748,2347 Canton Highway- CMP_54902,The value provided is invalid.,2347 Canton Highway- CMP_54902
11,10071,2nd Avenue & 1st Street Service Station- CMP_53819,The value provided is invalid.,2nd Avenue & 1st Street Service Station-CMP_53819
12,9578,300 & 500 East Truxton Ave.-CMP_47839,The value provided is invalid.,300 & 500 East Truxton Ave.- CMP_47839
13,10107,3000 Houston Street Development LLC- ab:95653,The value provided is invalid.,3000 Houston Street Development LLC-ab:95653
14,12227,33rd Street West Service Station-CMP_54322,The value provided is invalid.,33rd Street West Service Station-CMP_54322
15,10030,3611-CMP_52246,The value provided is invalid.,3611-CMP_52246
16,9772,399 Route 22 West- CMP_43969,The value provided is invalid.,399 Route 22 West- CMP_43969
17,9812,405 National Avenue- CMP_47849,The value provided is invalid.,405 National Avenue- CMP_47849
18,10148,532 South Broadway- CMP_51053,The value provided is invalid.,532 South Broadway- CMP_51053
19,9592,5355-75 South Third Street-CMP_51122,The value provided is invalid.,5355-75 South Third Street- CMP_51122
20,9977,5725 Kearny Villa Road- CMP_47863,The value provided is invalid.,5725 Kearny Villa Road- CMP_47863
21,9493,6380 East 30th Street Site-CMP_45601,The value provided is invalid.,6380 East 30th Street Site- CMP_45601
22,9426,657 Union Boulevard,The value provided is invalid.,New Jersey-CMP_47228
23,9973,700 GOLFMORE ASSOCIATION INC- GLT:CMP:4006,The value provided is invalid.,700 GOLFMORE ASSOCIATION INC- GLT:CMP:4006
24,9702,702 Firm LLC dba The 702 Firm-ab:90406,The value provided is invalid.,702 Firm LLC dba The 702 Firm-ab:90406
25,9497,727 Bellevue Way- CMP_46814,The value provided is invalid.,727 Bellevue Way- CMP_46814
