"Interface ID","Supplier","Rejection Reason","Value"
"9936","1 Retail Investments Sales Team In Southern California Inc- ASI:CMP:9476","The value provided is invalid.","1 Retail Investments Sales Team In Southern California Inc-ASI:CMP:9476"
"9848","1131 Thurow- CMP_52251","The value provided is invalid.","1131 Thurow-CMP_52251"
"9628","1228 Harding Avenue- CMP_43179","The value provided is invalid.","1228 Harding Avenue- CMP_43179"
"9891","1304 S Roxbury Drive LLC-ab:91422","The value provided is invalid.","1304 S Roxbury Drive LLC- ab:91422"
"9618","14929 Lone Butte Road- CMP_50714","The value provided is invalid.","14929 Lone Butte Road- CMP_50714"
"9763","1507 Watson Boulevard- CMP_54905","The value provided is invalid.","1507 Watson Boulevard- CMP_54905"
"9640","1561-81 Kennedy Blvd. & 265 Gates Avenue- CMP_50626","The value provided is invalid.","1561-81 Kennedy Blvd. & 265 Gates Avenue-CMP_50626"
"9528","2121-CMP_52224","The value provided is invalid.","2121-CMP_52224"
"9938","2257 Akr Wadsworth Road-CMP_55028","The value provided is invalid.","2257 Akr Wadsworth Road- CMP_55028"
"9345","226 Wyckoff Avenue- CMP_42047","The value provided is invalid.","226 Wyckoff Avenue- CMP_42047"
"9748","2347 Canton Highway- CMP_54902","The value provided is invalid.","2347 Canton Highway- CMP_54902"
"10071","2nd Avenue & 1st Street Service Station- CMP_53819","The value provided is invalid.","2nd Avenue & 1st Street Service Station-CMP_53819"
"9578","300 & 500 East Truxton Ave.-CMP_47839","The value provided is invalid.","300 & 500 East Truxton Ave.- CMP_47839"
"10107","3000 Houston Street Development LLC- ab:95653","The value provided is invalid.","3000 Houston Street Development LLC-ab:95653"
"12227","33rd Street West Service Station-CMP_54322","The value provided is invalid.","33rd Street West Service Station-CMP_54322"
"10030","3611-CMP_52246","The value provided is invalid.","3611-CMP_52246"
"9772","399 Route 22 West- CMP_43969","The value provided is invalid.","399 Route 22 West- CMP_43969"
"9812","405 National Avenue- CMP_47849","The value provided is invalid.","405 National Avenue- CMP_47849"
"10148","532 South Broadway- CMP_51053","The value provided is invalid.","532 South Broadway- CMP_51053"
"9592","5355-75 South Third Street-CMP_51122","The value provided is invalid.","5355-75 South Third Street- CMP_51122"
"9977","5725 Kearny Villa Road- CMP_47863","The value provided is invalid.","5725 Kearny Villa Road- CMP_47863"
